scenario,ablation,verbal,blocked,path_length,has_trace
S1_controversial_call_high_density,full,0.52,0,7,True
S1_controversial_call_high_density,A1,0.52,0,8,True
S1_controversial_call_high_density,A2,0.0,1,5,True
S1_controversial_call_high_density,A3,0.0,1,5,True
S1_controversial_call_high_density,A4,0.0,0,5,False
S1_controversial_call_high_density,A5,0.52,0,7,True
S1_controversial_call_high_density,A6,1.0,254,38,True
S2_team_eliminated_transit_delay,full,0.72,1,7,True
S2_team_eliminated_transit_delay,A1,0.72,1,8,True
S2_team_eliminated_transit_delay,A2,0.72,1,8,True
S2_team_eliminated_transit_delay,A3,0.72,1,9,True
S2_team_eliminated_transit_delay,A4,0.72,1,8,True
S2_team_eliminated_transit_delay,A5,0.72,1,7,True
S2_team_eliminated_transit_delay,A6,1.0,276,12,True
S3_heat_crowd_comm_delay,full,0.4,1,14,True
S3_heat_crowd_comm_delay,A1,0.79,1,17,True
S3_heat_crowd_comm_delay,A2,0.4,1,15,True
S3_heat_crowd_comm_delay,A3,0.4,2,14,True
S3_heat_crowd_comm_delay,A4,0.4,0,14,False
S3_heat_crowd_comm_delay,A5,0.4,1,14,True
S3_heat_crowd_comm_delay,A6,1.0,255,53,True
